rank,name,city,state,control,band,score,admit_rate,completion_rate,retention_rate,sat_avg,undergrad_size,earnings_10yr,tuition_in,tuition_out,net_price,materials_score,biology_score,profile_score,outcomes_score,access_score,ca_value_score,materials_awards,biology_awards,neuro_awards,programs,why_apply,caution
1,University of Washington-Seattle Campus,Seattle,WA,Public,Competitive/possible by admit rate,91.39131431286225,0.3915,0.8518,0.9473,,31942.0,78466.0,12973.0,43209.0,14091.0,0.953680981393118,1.0,0.9562515336736602,0.900869,0.8,0.0,63.0,981.0,277.0,"materials: Ceramic Sciences and Engineering; Materials Engineering | bio: Biochemistry, Biophysics and Molecular Biology; Biology, General; Biomathematics, Bioinformatics, and Computational Biology; Cell/Cellular Biology and Anatomical Sciences | neuro: Human Biology; Neurobiology and Neurosciences","Excellent medicine, neuroscience, bioengineering, and research ecosystem.","needs department, cost, and admissions verification"
2,University of California-Irvine,Irvine,CA,Public,Competitive/possible by admit rate,89.40702585899652,0.2857,0.8687,0.9405,,30197.0,80735.0,15722.0,49922.0,14251.0,0.8517727010320436,0.9755735963025023,0.8536681372864523,0.9089710000000001,0.8,1.0,37.0,848.0,166.0,"materials: Materials Engineering; Materials Sciences | bio: Biochemistry, Biophysics and Molecular Biology; Biology, General; Biomathematics, Bioinformatics, and Computational Biology; Cell/Cellular Biology and Anatomical Sciences | neuro: Human Biology; Neurobiology and Neurosciences",Strong neuro/pre-med campus with engineering and California value.,"needs department, cost, and admissions verification"
3,University of Michigan-Ann Arbor,Ann Arbor,MI,Public,Reach by admit rate,88.88047410376376,0.1564,0.932,0.9747,1465.0,34177.0,83648.0,17736.0,60946.0,13138.0,0.8800952789948737,1.0,0.9452323948582572,0.954235,0.55,0.0,44.0,594.0,226.0,"materials: Materials Engineering; Polymer/Plastics Engineering | bio: Biochemistry, Biophysics and Molecular Biology; Biology, General; Biomathematics, Bioinformatics, and Computational Biology; Cell/Cellular Biology and Anatomical Sciences | neuro: Neurobiology and Neurosciences","Excellent broad fit: materials, biomedical, neuroscience, medicine.",reach school
4,University of California-Los Angeles,Los Angeles,CA,Public,Far reach by admit rate,88.24664862558127,0.0897,0.9262,0.9731,,33475.0,82511.0,15203.0,49403.0,12548.0,0.819628826298598,1.0,0.9106738009415234,0.9504710000000001,0.35,1.0,49.0,1333.0,399.0,"materials: Materials Engineering; Materials Sciences | bio: Biochemistry, Biophysics and Molecular Biology; Biology, General; Biomathematics, Bioinformatics, and Computational Biology; Cell/Cellular Biology and Anatomical Sciences | neuro: Human Biology; Neurobiology and Neurosciences",Excellent California public for pre-med/neuro plus materials/engineering.,lottery-level selectivity
5,University of Wisconsin-Madison,Madison,WI,Public,More accessible by admit rate,87.30523278376398,0.452,0.8955,0.9616,1427.0,36902.0,73792.0,11603.0,42103.0,17354.0,0.8039977947429127,0.9800000000000001,0.8553592502125904,0.92979,1.0,0.0,47.0,724.0,293.0,"materials: Materials Engineering; Polymer/Plastics Engineering | bio: Biochemistry, Biophysics and Molecular Biology; Biology, General; Biomathematics, Bioinformatics, and Computational Biology; Microbiological Sciences and Immunology | neuro: Neurobiology and Neurosciences","Strong public R1 for biology, engineering, neuroscience, and medicine.","needs department, cost, and admissions verification"
6,Ohio State University-Main Campus,Columbus,OH,Public,More accessible by admit rate,86.8563623031738,0.6057,0.8772,0.9423,1387.0,45638.0,60409.0,13244.0,40022.0,17339.0,0.8224600729572177,0.9800000000000001,0.8336364248054541,0.9118081490653538,1.0,0.0,58.0,643.0,283.0,"materials: Materials Engineering | bio: Biochemistry, Biophysics and Molecular Biology; Biology, General; Biomathematics, Bioinformatics, and Computational Biology; Cell/Cellular Biology and Anatomical Sciences | neuro: Neurobiology and Neurosciences",Large public R1 with medical center and engineering breadth.,"needs department, cost, and admissions verification"
7,University of California-Davis,Davis,CA,Public,Competitive/possible by admit rate,85.50200772556747,0.4183,0.8567,0.9281,,32253.0,80838.0,16774.0,50974.0,14741.0,0.7146314214425018,0.9800000000000001,0.8249746832904506,0.898911,0.8,1.0,26.0,923.0,519.0,"materials: Materials Engineering | bio: Biochemistry, Biophysics and Molecular Biology; Biology, General; Biomathematics, Bioinformatics, and Computational Biology; Cell/Cellular Biology and Anatomical Sciences | neuro: Neurobiology and Neurosciences","Excellent California public for biology, pre-health, and bioengineering breadth.","needs department, cost, and admissions verification"
8,University of Minnesota-Twin Cities,Minneapolis,MN,Public,More accessible by admit rate,85.48807113219394,0.7975,0.8528,0.9112,1362.0,31855.0,69020.0,17214.0,38362.0,16778.0,0.7953557886623764,0.9630726717910463,0.8373744541816935,0.8919081158985431,1.0,0.0,38.0,845.0,115.0,"materials: Materials Engineering | bio: Biochemistry, Biophysics and Molecular Biology; Biology, General; Biomathematics, Bioinformatics, and Computational Biology; Cell/Cellular Biology and Anatomical Sciences | neuro: Neurobiology and Neurosciences","Strong R1 with engineering, medicine, and biomedical research depth.","needs department, cost, and admissions verification"
9,Virginia Polytechnic Institute and State University,Blacksburg,VA,Public,More accessible by admit rate,83.59011199999999,0.5478,0.8622,0.9308,1364.0,30923.0,81698.0,15948.0,37764.0,24953.0,0.99,0.7979999999999999,0.7093200000000001,0.902776,1.0,0.0,66.0,455.0,215.0,"materials: Materials Engineering; Polymer/Plastics Engineering | bio: Biochemistry, Biophysics and Molecular Biology; Biology, General; Biomathematics, Bioinformatics, and Computational Biology; Microbiological Sciences and Immunology | neuro: Neurobiology and Neurosciences",Strong engineering/materials; bio/clinical path is available but less central.,"needs department, cost, and admissions verification"
10,University of California-Riverside,Riverside,CA,Public,More accessible by admit rate,83.29052611739363,0.7639,0.7596,0.876,,22593.0,67699.0,15606.0,49806.0,14304.0,0.7594254784137289,0.9387807325580678,0.7272319804900613,0.8287581679209524,1.0,1.0,25.0,992.0,136.0,"materials: Materials Engineering; Materials Sciences | bio: Biochemistry, Biophysics and Molecular Biology; Biology, General; Biomathematics, Bioinformatics, and Computational Biology; Cell/Cellular Biology and Anatomical Sciences | neuro: Neurobiology and Neurosciences",More accessible UC with medical school and useful life-science path.,"needs department, cost, and admissions verification"
